slug,module,category,web_url
gioi-thieu-workspace,FPT Data Platform,,
tao-workspace,FPT Data Platform,,
xem-thong-tin-workspace,FPT Data Platform,,
xoa-workspace,FPT Data Platform,,
keystore-management,FPT Data Platform,,
certificate-manager,FPT Data Platform,,
cdc-service,FPT Data Platform,,
tao-cdc-service,FPT Data Platform,,
xem-thong-tin-cdc-service,FPT Data Platform,,
postgresql-source-connector,FPT Data Platform,,
mongoDB-source-connector,FPT Data Platform,,
sql-server-source-connector,FPT Data Platform,,
mysql-source-connector,FPT Data Platform,,
mariadb-source-connector,FPT Data Platform,,
oracle-source-connector,FPT Data Platform,,
clickhouse-logs-sink-connector,FPT Data Platform,,
mongodb-sink-connector,FPT Data Platform,,
postgresql-sink-connector,FPT Data Platform,,
opensearch-sink-connector,FPT Data Platform,,
sql-server-sink-connector,FPT Data Platform,,
mysql-sink-connector,FPT Data Platform,,
mariadb-sink-connector,FPT Data Platform,,
iceberg-sink-connector,FPT Data Platform,,
clickhouse-replication-sink-connector,FPT Data Platform,,
s3-sink-connector,FPT Data Platform,,
elasticsearch-sink-connector,FPT Data Platform,,
iceberg-logs-sink-connector,FPT Data Platform,,
redis-sink-connector,FPT Data Platform,,
tao-connector-source-kafka,FPT Data Platform,,
tao-connector-source-s3,FPT Data Platform,,
xem-thong-tin-connector,FPT Data Platform,,
hanh-dong-voi-connector,FPT Data Platform,,
xoa-connector,FPT Data Platform,,
xem-th%C3%B4ng-tin-snapshot,FPT Data Platform,,
trang-thai-snapshot,FPT Data Platform,,
hanh-dong-voi-snapshot,FPT Data Platform,,
xoa-cdc-service,FPT Data Platform,,
kafka-mm2,FPT Data Platform,,
cai-dat-superset,FPT Data Platform,,
tao-superset,FPT Data Platform,,
xem-thong-tin-superset,FPT Data Platform,,
xoa-superset,FPT Data Platform,,
jupyterhub-guide,FPT Data Platform,,
tao-Jupyterhub,FPT Data Platform,,
xem-thong-tin-juperterhub,FPT Data Platform,,
xoa-jupyterhub,FPT Data Platform,,
them-nguoi-dung,FPT Data Platform,,
tao-profile,FPT Data Platform,,
phan-quyen-nguoi-dung-su-dung-profile,FPT Data Platform,,
dbt,FPT Data Platform,,
guide-ranger,FPT Data Platform,,
tao-ranger,FPT Data Platform,,
xem-ranger,FPT Data Platform,,
cau-hinh-va-quan-ly-query-engine,FPT Data Platform,,
tag-sync,FPT Data Platform,,
xoa-ranger,FPT Data Platform,,
hive-metastore,FPT Data Platform,,
tao-hive-metastore,FPT Data Platform,,
xem-thong-tin-hive-metastore,FPT Data Platform,,
xoa-hive-metastore,FPT Data Platform,,
query-engine,FPT Data Platform,,
tao-query-engine,FPT Data Platform,,
xem-thong-tin-query-engine,FPT Data Platform,,
xoa-query-engine,FPT Data Platform,,
quan-ly-connectors,FPT Data Platform,,
quan-ly-users,FPT Data Platform,,
quan-ly-Policies,FPT Data Platform,,
guide-nessie,FPT Data Platform,,
tao-nessie,FPT Data Platform,,
xem-thong-tin-nessie,FPT Data Platform,,
xoa-nessie,FPT Data Platform,,
apache-flink,FPT Data Platform,,
tao-apache-flink,FPT Data Platform,,
xem-thong-tin-apache-flink,FPT Data Platform,,
xoa-apache-flink,FPT Data Platform,,
userguide-airflow,FPT Data Platform,,
tao-airflow,FPT Data Platform,,
xem-thong-tin-orchestration,FPT Data Platform,,
xoa-orchestration,FPT Data Platform,,
huong-dan-airflow-dbt,FPT Data Platform,,
huong-dan-airflow-my-workspace,FPT Data Platform,,
huong-dan-airflow-job-submit,FPT Data Platform,,
huong-dan-secert-backends,FPT Data Platform,,
huong-dan-airflow-workflow,FPT Data Platform,,
cai-dat-ingestion-service,FPT Data Platform,,
tao-ingestion,FPT Data Platform,,
xem-thong-tin-ingestion,FPT Data Platform,,
xoa-ingestion,FPT Data Platform,,
chinh-sua-ingestion,FPT Data Platform,,
processing-service,FPT Data Platform,,
tao-processing-service,FPT Data Platform,,
xem-thong-tin-processing-service,FPT Data Platform,,
xoa-processing-service,FPT Data Platform,,
quan-ly-compute,FPT Data Platform,,
quan-ly-image-cua-compute,FPT Data Platform,,
open-metadata,FPT Data Platform,,
tao-open-metadata-service,FPT Data Platform,,
xem-thong-tin-open-metadata-service,FPT Data Platform,,
cap-nhat-open-metadata,FPT Data Platform,,
xoa-open-metadata,FPT Data Platform,,
huong-dan-su-dung-open-metadata,FPT Data Platform,,
