slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs,aggregated,agg_files
ssl-profile,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/ssl-profile.md,1,2,0,3,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES",15,40,-167%,6,0,,
deployment-model,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/deployment-model.md,1,1,1,3,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES",210,235,-12%,8,0,,
quan-ly-repositories-tren-fpt-portal,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-repositories-tren-fpt-portal.md,1,1,0,2,"NO_IMAGES, NO_TABLES",9,36,-300%,5,0,,
huong-dan-su-dung-tren-docker-cli,FPT Container Registry,FPT Container,fpt-container-registry/huong-dan-su-dung-tren-docker-cli.md,1,1,0,2,"NO_IMAGES, NO_TABLES",4,36,-800%,5,0,,
quan-ly-goi-dich-vu,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-goi-dich-vu.md,1,1,0,2,"NO_IMAGES, NO_TABLES",6,38,-533%,5,0,,
maintenance-window,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/maintenance-window.md,1,1,0,2,"FEWER_IMAGES, MISSING_HEADINGS",404,453,-12%,10,2,,
quan-ly-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-robot-account.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,52,0%,5,0,,
tutorials-su-dung-object-storage-tren-fpt-portal,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-su-dung-object-storage-tren-fpt-portal.md,1,1,0,2,"NO_IMAGES, NO_TABLES",0,54,0%,4,0,,
Overview,FPT Cloud Guard,FPT Monitoring,cloud-guard/Overview.md,1,2,0,3,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES",0,58,0%,5,0,,
db-engine-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-engine-service.md,1,0,0,1,NO_IMAGES,67,134,-100%,8,0,,
database-engine-version,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/database-engine-version.md,1,1,0,2,"NO_IMAGES, NO_TABLES",13,91,-600%,8,0,,
Version-List,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/Version-List.md,1,0,0,1,NO_IMAGES,272,381,-40%,8,0,,
file-storage-high-performance,Managed GPU Cluster (Kubernetes),AI Infrastructure,file-storage-high-performance/file-storage-high-performance.md,1,1,0,2,"HEADING_COUNT_DIFF, NO_IMAGES",804,1591,-98%,13,0,Yes,16
change-network-config,Cloud Server,FPT Cloud Server,cloud-server/change-network-config.md,0,4,0,4,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",474,207,56%,26,21,Yes,6
terraform,Cloud Server,FPT Cloud Server,cloud-server/terraform.md,0,3,0,3,"HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",476,223,53%,27,43,Yes,6
report-schedule,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/report-schedule.md,0,1,1,2,"FEWER_IMAGES, MISSING_HEADINGS",1255,1073,15%,11,3,,
them-moi-mot-credential,FPT Jenkins CI,FPT DevSecOps Services,fpt-jenkins-ci/them-moi-mot-credential.md,0,3,0,3,"HEADING_COUNT_DIFF, NO_TABLES, WORD_COUNT_LOW",297,125,58%,23,21,,
quan-ly-teams-org,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-teams-org.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",290,130,55%,16,13,,
policy-settings,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/policy-settings.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",372,214,42%,14,8,,
tong-quan-dich-vu-GPU,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/tong-quan-dich-vu-GPU.md,0,1,0,1,WORD_COUNT_LOW,374,237,37%,1,0,,
quan-ly-mem-team,FPT AppSec,FPT Security Platform,fpt-appsec/quan-ly-mem-team.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",227,95,58%,12,8,,
kafka-user,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/kafka-user.md,0,2,0,2,"FEWER_IMAGES, NO_TABLES",922,798,13%,8,3,,
allow-address-pair,Cloud Server,FPT Cloud Server,allow-address-pair/allow-address-pair.md,0,3,0,3,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_TABLES",465,344,26%,26,21,Yes,8
tao-security-profile,Fortigate - FPT NGFW,FPT Security,fortigate-fpt-ngfw/tao-security-profile.md,0,2,0,2,"NO_TABLES, WORD_COUNT_LOW",239,121,49%,18,18,,
quan-ly-blades,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/quan-ly-blades.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",217,107,51%,20,17,,
tao-rule-nat,CheckPoint - FPT NGFW,FPT Security,checkpoint-fpt-ngfw/tao-rule-nat.md,0,3,0,3,"FEWER_IMAGES, NO_TABLES, WORD_COUNT_LOW",195,88,55%,19,16,,
