lang,file,line,ref
vi,docs-vi/checkpoint-fpt-ngfw/install-policy.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-43-c34684c5.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,12,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-4-102-be6940bd.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,14,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-5-102-126ffaea.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,16,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-6-a8e211b4.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,17,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-7-4c25fcc3.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,18,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-8-ad10b6e7.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,19,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-9-daa6a362.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,20,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-10-73925160.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,21,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-11-6c6c904a.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,22,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-12-797b8c9a.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,23,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-13-93ea550f.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,24,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-14-dc0e51ef.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,25,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-15-bc9a2658.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,28,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-16-10-4b291940.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,30,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-17-10-045e6418.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,32,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-18-ef3fe88e.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,34,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-19-10-c658f9ed.png
vi,docs-vi/checkpoint-fpt-ngfw/network-interface.md,36,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-20-10-fd95d46b.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,13,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-100-1-bf21de64.png
vi,docs-vi/checkpoint-fpt-ngfw/quan-ly-account.md,15,/img/migrated/Userguide-Checkpoint-FPT-NGFW-2022-101-fa63b3ee.png
