slug,module,localFile,severity,web_adj,doc_words,gap_pct,aggregated,agg_files
huong-dan-cau-hinh-auto-scale-su-dung-keda-va-prometheus,FPT Kubernetes Engine with GPU,fpt-kubernetes-engine-with-gpu/huong-dan-cau-hinh-auto-scale-su-dung-keda-va-prometheus.md,MEDIUM,308,195,37%,,
benchmark-sysbench,Managed - FPT Database Engines,managed-fpt-database-engine/benchmark-sysbench.md,MEDIUM,770,485,37%,,
guide-gitlab,FPT AppSec,fpt-appsec/guide-gitlab.md,MEDIUM,227,143,37%,,
accountpassword-qua-FCDClient-cu,FPT Cloud Desktop,fpt-cloud-desktop/accountpassword-qua-FCDClient-cu.md,MEDIUM,482,309,36%,,
gan-storage-disk-vao-may-ao,Cloud Server,cloud-server/gan-storage-disk-vao-may-ao.md,MEDIUM,149,95,36%,,
tutorials-quan-ly-instance-template,Cloud Server,cloud-server/tutorials-quan-ly-instance-template.md,MEDIUM,69,44,36%,,
khoi-tao-canh-bao-vpn,FPT Cloud Guard,cloud-guard/khoi-tao-canh-bao-vpn.md,MEDIUM,484,310,36%,,
guide-dashboard-overview,FPT AppSec,fpt-appsec/guide-dashboard-overview.md,MEDIUM,356,228,36%,,
guide-workspace,FPT AppSec,fpt-appsec/guide-workspace.md,MEDIUM,94,60,36%,,
slurm-on-fpt-cloud,Managed GPU Cluster (Kubernetes),fpt-managed-gpu-cluster/slurm-on-fpt-cloud.md,MEDIUM,3333,2122,36%,,
block-storage,Cloud Server,cloud-server/block-storage.md,MEDIUM,144,93,35%,,
guide-change-status-issue-list,FPT AppSec,fpt-appsec/guide-change-status-issue-list.md,MEDIUM,171,112,35%,,
tai-sao-nen-su-dung-gpu-tren-kubernetes,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/tai-sao-nen-su-dung-gpu-tren-kubernetes.md,MEDIUM,435,287,34%,,
tag-va-push-image-len-fpt-container-registry,FPT Container Registry,fpt-container-registry/tag-va-push-image-len-fpt-container-registry.md,MEDIUM,122,80,34%,,
khoi-tao-kubernetes-cluster-moi,Dedicated - FPT Kubernetes Engine,dedicated-fpt-kubernetes-engine/khoi-tao-kubernetes-cluster-moi.md,MEDIUM,534,355,34%,,
xoa-alert,FPT Cloud Guard,cloud-guard/xoa-alert.md,MEDIUM,74,49,34%,,
guide-gitlabserver,FPT AppSec,fpt-appsec/guide-gitlabserver.md,MEDIUM,251,165,34%,,
tai-len-custom-image,Cloud Server,cloud-server/tai-len-custom-image.md,MEDIUM,221,149,33%,,
tinh-nang-workload-scan,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/tinh-nang-workload-scan.md,MEDIUM,1090,728,33%,,
nang-cap-goi-dich-vu,FPT Jenkins CI,fpt-jenkins-ci/nang-cap-goi-dich-vu.md,MEDIUM,99,66,33%,,
guide-issue-by-team,FPT AppSec,fpt-appsec/guide-issue-by-team.md,MEDIUM,235,157,33%,,
guide-change-status-issue-detail,FPT AppSec,fpt-appsec/guide-change-status-issue-detail.md,MEDIUM,101,68,33%,,
snapshot-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,managed-fpt-kubernetes-engine/snapshot-persistent-volume-tren-k8s.md,MEDIUM,371,254,32%,,
tao-moi-robot-account,FPT Container Registry,fpt-container-registry/tao-moi-robot-account.md,MEDIUM,177,121,32%,,
dashboard-ket-qua-quet,FPT Cloud VA,fpt-va/dashboard-ket-qua-quet.md,MEDIUM,182,123,32%,,
tao-report,FPT Reporting,reporting/tao-report.md,MEDIUM,793,537,32%,,
khoi-tao-canh-bao-virtual-machine,FPT Cloud Guard,cloud-guard/khoi-tao-canh-bao-virtual-machine.md,MEDIUM,300,203,32%,,
