slug,module,web_words,doc_words,content_status,images_status,web_images,doc_images,headings_match_pct,tables_status,web_tables,doc_tables,aggregated,local_files,missing_headings
tu-dong-nang-cap-version,Managed - FPT Kubernetes Engine,0,74,full,n/a,0,0,100,n/a,0,0,False,managed-fpt-kubernetes-engine/tu-dong-nang-cap-version.md,
tutorials-backup-may-chu-voi-snapshot,Cloud Server,947,930,full,full,21,21,100,n/a,0,0,False,cloud-server/tutorials-backup-may-chu-voi-snapshot.md,
tutorials-bucket,FPT Object Storage,526,448,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-bucket.md,
tutorials-bucket-config,FPT Object Storage,1897,1928,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-bucket-config.md,
tutorials-dang-nhap-waf-dashboard,FPT Cloud WAF,102,106,full,full,3,3,100,n/a,0,0,False,fpt-cloud-waf/tutorials-dang-nhap-waf-dashboard.md,
tutorials-encryption,FPT Object Storage,362,388,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-encryption.md,
tutorials-ket-noi-vao-may-ao-linux,Cloud Server,574,572,full,full,8,8,100,n/a,0,0,False,cloud-server/tutorials-ket-noi-vao-may-ao-linux.md,
tutorials-ket-noi-vao-may-ao-windows,Cloud Server,346,362,full,full,5,5,100,n/a,0,0,False,cloud-server/tutorials-ket-noi-vao-may-ao-windows.md,
tutorials-khoi-tao-mot-may-ao-moi,Cloud Server,914,926,full,full,8,8,100,n/a,0,0,False,cloud-server/tutorials-khoi-tao-mot-may-ao-moi.md,
tutorials-khoi-tao-template-tu-may-ao,Cloud Server,60,85,full,full,3,3,100,n/a,0,0,False,cloud-server/tutorials-khoi-tao-template-tu-may-ao.md,
tutorials-khoi-tao-vault-instance,FPT Key Vault,5,127,full,full,3,3,100,n/a,0,0,False,fpt-key-vault/tutorials-khoi-tao-vault-instance.md,
tutorials-object,FPT Object Storage,955,678,full,n/a,0,0,86,n/a,0,0,False,fpt-object-storage/tutorials-object.md,h3: Delete Object
tutorials-permissions,FPT Object Storage,869,894,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-permissions.md,
tutorials-quan-ly-access-key-cua-object-storage-tren-fpt-portal,FPT Object Storage,394,423,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-quan-ly-access-key-cua-object-storage-tren-fpt-portal.md,
tutorials-quan-ly-instance-template,Cloud Server,48,69,full,n/a,0,0,100,n/a,0,0,False,cloud-server/tutorials-quan-ly-instance-template.md,
tutorials-quan-ly-subuser,FPT Object Storage,443,449,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-quan-ly-subuser.md,
tutorials-quan-ly-template-duoc-tao-tu-may-ao,Cloud Server,80,79,full,full,2,2,100,n/a,0,0,False,cloud-server/tutorials-quan-ly-template-duoc-tao-tu-may-ao.md,
tutorials-su-dung-object-storage-tren-fpt-portal,FPT Object Storage,0,125,full,n/a,0,0,100,n/a,0,0,False,fpt-object-storage/tutorials-su-dung-object-storage-tren-fpt-portal.md,
tutorials-su-dung-object-storage-tren-s3-client,FPT Object Storage,1527,1526,full,full,33,33,100,n/a,0,1,False,fpt-object-storage/tutorials-su-dung-object-storage-tren-s3-client.md,
tutorials-tao-auth-method,FPT Key Vault,66,165,full,full,4,4,100,n/a,0,0,False,fpt-key-vault/tutorials-tao-auth-method.md,
tutorials-tao-instance-tu-template,Cloud Server,88,100,full,full,2,2,100,n/a,0,0,False,cloud-server/tutorials-tao-instance-tu-template.md,
tutorials-tao-policy,FPT Key Vault,40,136,full,full,4,4,100,n/a,0,0,False,fpt-key-vault/tutorials-tao-policy.md,
tutorials-tao-role,FPT Key Vault,31,165,full,full,4,4,100,n/a,0,0,False,fpt-key-vault/tutorials-tao-role.md,
tutorials-tao-secret-engine,FPT Key Vault,24,114,full,full,4,4,100,n/a,0,0,False,fpt-key-vault/tutorials-tao-secret-engine.md,
tutorials-tao-secret-tren-secret-engine,FPT Key Vault,42,145,full,full,4,4,100,n/a,0,0,False,fpt-key-vault/tutorials-tao-secret-tren-secret-engine.md,
tutorials-thay-doi-thong-tin-cau-hinh-may-chu,Cloud Server,346,341,full,full,5,5,100,n/a,0,0,False,cloud-server/tutorials-thay-doi-thong-tin-cau-hinh-may-chu.md,
tutorials-them-moi-may-chu-waf,FPT Cloud WAF,242,253,full,full,3,3,100,match,2,2,False,fpt-cloud-waf/tutorials-them-moi-may-chu-waf.md,
tutorials-tich-hop-fpt-object-storage-voi-cac-s3-client,FPT Object Storage,1656,1633,full,full,5,5,100,n/a,0,0,False,fpt-object-storage/tutorials-tich-hop-fpt-object-storage-voi-cac-s3-client.md,
