slug,module,category,localFile,high,medium,low,total_issues,issue_types,web_words_adj,doc_words,word_gap_pct,web_imgs_adj,doc_imgs
hpc-snapshot-backup,Cloud Server,FPT Cloud Server,cloud-server/hpc-snapshot-backup.md,2,2,0,4,"HEADING_COUNT_DIFF, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",704,129,82%,9,0
convert-card,Cloud Server,FPT Cloud Server,cloud-server/convert-card.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",680,114,83%,10,0
cluster-autoscale,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/cluster-autoscale.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",675,110,84%,17,0
hpc-change-package,Cloud Server,FPT Cloud Server,cloud-server/hpc-change-package.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",661,103,84%,7,0
question-1,Cloud Server,FPT Cloud Server,allow-address-pair/question-1.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",596,43,93%,5,0
question-,Cloud Server,FPT Cloud Server,cloud-server/question-.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",631,79,87%,5,0
schedule-snapshotVM,Cloud Server,FPT Cloud Server,cloud-server/schedule-snapshotVM.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",586,37,94%,5,0
hpc-clone-image,Cloud Server,FPT Cloud Server,cloud-server/hpc-clone-image.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",612,65,89%,6,0
hpc-level-2-password,Cloud Server,FPT Cloud Server,cloud-server/hpc-level-2-password.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",616,73,88%,7,0
tutorials-quan-ly-instance-template,Cloud Server,FPT Cloud Server,cloud-server/tutorials-quan-ly-instance-template.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",587,44,93%,5,0
change-address-MAC,Cloud Server,FPT Cloud Server,cloud-server/change-address-MAC.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",672,133,80%,9,0
question-2,Cloud Server,FPT Cloud Server,cloud-server/question-2.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",583,46,92%,5,0
FQAs,Cloud Server,FPT Cloud Server,cloud-server/FQAs.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",609,77,87%,5,0
edit-ip-address,Cloud Server,FPT Cloud Server,cloud-server/edit-ip-address.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",685,154,78%,10,0
project-structure,Cloud Server,FPT Cloud Server,cloud-server/project-structure.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",553,29,95%,5,0
overview-bell,Cloud Server,FPT Cloud Server,cloud-server/overview-bell.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",572,49,91%,5,0
thuc-hien-dat-lich-xoa-pvc-snapshot,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/thuc-hien-dat-lich-xoa-pvc-snapshot.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",655,132,80%,5,0
enable-NIC-card,Cloud Server,FPT Cloud Server,cloud-server/enable-NIC-card.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",588,75,87%,9,0
quan-ly-gpu-voi-hpc-portal,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-gpu-voi-hpc-portal.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",573,68,88%,5,0
token,Cloud Server,FPT Cloud Server,cloud-server/token.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",532,28,95%,5,0
connect-vyos-1.5,VPN Site-to-Site,FPT Network,vpn-site-to-site/connect-vyos-1.5.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",829,326,61%,10,4
hpc-delete-image,Cloud Server,FPT Cloud Server,cloud-server/hpc-delete-image.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",570,68,88%,7,0
schedule-snapshotstorage,Cloud Server,FPT Cloud Server,cloud-server/schedule-snapshotstorage.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",525,28,95%,5,0
delete-card-NIC,Cloud Server,FPT Cloud Server,cloud-server/delete-card-NIC.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",620,130,79%,10,0
custom-images-overview,Cloud Server,FPT Cloud Server,cloud-server/custom-images-overview.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",518,30,94%,5,0
quan-ly-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quan-ly-may-ao.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",519,41,92%,5,0
disable-NIC-card,Cloud Server,FPT Cloud Server,cloud-server/disable-NIC-card.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",574,102,82%,9,0
select-project-when-creating-VPC,Cloud Server,FPT Cloud Server,cloud-server/select-project-when-creating-VPC.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",535,65,88%,6,0
fde-glossary,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/fde-glossary.md,2,1,0,3,"MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",1081,611,43%,8,0
tai-sao-nen-su-dung-gpu-tren-kubernetes,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tai-sao-nen-su-dung-gpu-tren-kubernetes.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",749,287,62%,5,0
tai-sao-nen-su-dung-gpu-tren-cloud,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tai-sao-nen-su-dung-gpu-tren-cloud.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",616,172,72%,5,0
cac-luu-y-khi-su-dung-m-fke,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/cac-luu-y-khi-su-dung-m-fke.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",737,316,57%,5,0
SNI-load-balancer,Load Balancer,FPT Network,load-balancer/SNI-load-balancer.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",842,423,50%,4,0
gpu-la-gi,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/gpu-la-gi.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",634,220,65%,5,0
enable-disable-admin-user,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/enable-disable-admin-user.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",435,32,93%,11,0
khoi-tao-load-balancer,Load Balancer,FPT Network,load-balancer/khoi-tao-load-balancer.md,2,2,0,4,"MISSING_HEADINGS, NO_CODE_BLOCKS, NO_IMAGES, WORD_COUNT_LOW",982,591,40%,5,0
cau-hinh-proxy-protocol-cho-nginx-ingress,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/cau-hinh-proxy-protocol-cho-nginx-ingress.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",603,212,65%,5,0
cau-hinh-proxy-protocol-cho-istio-ingress,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/cau-hinh-proxy-protocol-cho-istio-ingress.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",491,101,79%,5,0
Version-policy,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/Version-policy.md,2,1,0,3,"MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",855,468,45%,8,0
maintenance,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/maintenance.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",783,403,49%,8,0
restore-persistent-volume-tren-k8s,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/restore-persistent-volume-tren-k8s.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",454,86,81%,5,0
enable-disable-anonymous-user,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/enable-disable-anonymous-user.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",410,42,90%,10,0
huong-dan-cau-hinh-auto-scale-su-dung-keda-va-prometheus,FPT Kubernetes Engine with GPU,FPT Container,fpt-kubernetes-engine-with-gpu/huong-dan-cau-hinh-auto-scale-su-dung-keda-va-prometheus.md,2,1,0,3,"MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",559,195,65%,2,1
db-manage-operate,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-manage-operate.md,2,0,0,2,"NO_IMAGES, WORD_COUNT_LOW",571,207,64%,8,0
overviews-vpn,VPN Site-to-Site,FPT Network,vpn-site-to-site/overviews-vpn.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",531,176,67%,6,0
network-connectivity,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/network-connectivity.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",672,341,49%,8,0
fpt-cloud-managed-kubernetes-release-calendar,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/fpt-cloud-managed-kubernetes-release-calendar.md,2,0,0,2,"NO_IMAGES, WORD_COUNT_LOW",447,117,74%,5,0
cau-hinh-proxy-protocol,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/cau-hinh-proxy-protocol.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",329,18,95%,5,0
tu-dong-nang-cap-version,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tu-dong-nang-cap-version.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",343,33,90%,5,0
persistent-storage,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/persistent-storage.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",496,190,62%,6,0
resize-load-balancer,Load Balancer,FPT Network,load-balancer/resize-load-balancer.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",465,179,62%,4,0
update-admin-password,FPT ArgoCD,FPT DevSecOps Services,fpt-argocd/update-admin-password.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",303,31,90%,5,0
thay-doi-cau-hinh-k8s-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/thay-doi-cau-hinh-k8s-cluster.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",322,53,84%,5,0
clickhouse-use-ha,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/clickhouse-use-ha.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",449,185,59%,8,0
db-engine-service,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/db-engine-service.md,2,0,0,2,"NO_IMAGES, WORD_COUNT_LOW",395,134,66%,8,0
quan-ly-kubernetes-cluster,Managed - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/quan-ly-kubernetes-cluster.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",314,54,83%,5,0
database-engine-version,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engine/database-engine-version.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",341,91,73%,8,0
reporting,Managed - FPT Database Engines,FPT Database Engine,managed-fpt-database-engines-new/reporting.md,2,0,0,2,"NO_IMAGES, WORD_COUNT_LOW",328,82,75%,8,0
redirect-http-request-sang-https,Load Balancer,FPT Network,load-balancer/redirect-http-request-sang-https.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",299,60,80%,4,0
cac-luu-y-khi-su-dung-fke,Dedicated - FPT Kubernetes Engine,FPT Container,dedicated-fpt-kubernetes-engine/cac-luu-y-khi-su-dung-fke.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",548,314,43%,5,0
enable-hsts-to-http-listener,Load Balancer,FPT Network,load-balancer/enable-hsts-to-http-listener.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",366,139,62%,4,0
tinh-nang-tang-cuong-bao-mat-mfke,Managed - FPT Kubernetes Engine,FPT Container,managed-fpt-kubernetes-engine/tinh-nang-tang-cuong-bao-mat-mfke.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",334,109,67%,5,0
guide-gitlab,FPT AppSec,FPT Security Platform,fpt-appsec/guide-gitlab.md,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",362,143,60%,10,7
quan-ly-retention-rule,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-retention-rule.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",261,55,79%,5,0
authenticate-certificate-mode,VPN Site-to-Site,FPT Network,vpn-site-to-site/authenticate-certificate-mode.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",224,30,87%,6,0
faq,FPT Cloud Desktop,FPT Cloud Server,ai-notebook/faq.md,2,2,0,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",363,172,53%,4,0
cau-hinh-timeout,Load Balancer,FPT Network,load-balancer/cau-hinh-timeout.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",273,103,62%,4,0
import-ssl-certificate-cho-load-balancer,Load Balancer,FPT Network,load-balancer/import-ssl-certificate-cho-load-balancer.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",243,86,65%,4,0
cap-nhat-load-balancer,Load Balancer,FPT Network,load-balancer/cap-nhat-load-balancer.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",255,100,61%,4,0
xoa-ssl-certificate,Load Balancer,FPT Network,load-balancer/xoa-ssl-certificate.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",179,45,75%,4,0
scan-image,FPT Container Registry,FPT Container,fpt-container-registry/scan-image.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",171,44,74%,5,0
kich-hoat-dich-vu-fpt-container-registry,FPT Container Registry,FPT Container,fpt-container-registry/kich-hoat-dich-vu-fpt-container-registry.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",195,70,64%,5,0
quan-ly-repositories-tren-fpt-portal,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-repositories-tren-fpt-portal.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",153,36,76%,5,0
huong-dan-su-dung-tren-docker-cli,FPT Container Registry,FPT Container,fpt-container-registry/huong-dan-su-dung-tren-docker-cli.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",148,36,76%,5,0
quan-ly-goi-dich-vu,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-goi-dich-vu.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",150,38,75%,5,0
quan-ly-ssl-certificate,Load Balancer,FPT Network,load-balancer/quan-ly-ssl-certificate.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",139,36,74%,4,0
quan-ly-robot-account,FPT Container Registry,FPT Container,fpt-container-registry/quan-ly-robot-account.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",144,52,64%,5,0
xoa-target,FPT Cloud VA,FPT Security,fpt-va/xoa-target.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",136,54,60%,5,0
update-target,FPT Cloud VA,FPT Security,fpt-va/update-target.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",108,38,65%,5,0
xuat-bao-cao,FPT Cloud VA,FPT Security,fpt-va/xuat-bao-cao.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",113,44,61%,6,0
quan-ly-proxy-host,FPT Cloud WAF,FPT Security,fpt-cloud-waf/quan-ly-proxy-host.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",100,38,62%,5,0
xem-ket-qua-quet-cu,FPT Cloud VA,FPT Security,fpt-va/xem-ket-qua-quet-cu.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",87,27,69%,4,0
ssl-profile,FPT Cloud WAPPLES,FPT Security,fpt-cloud-wapples/ssl-profile.md,2,1,0,3,"NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",65,17,74%,6,0
tutorials-khoi-tao-mot-may-ao-moi,Cloud Server,FPT Cloud Server,cloud-server/tutorials-khoi-tao-mot-may-ao-moi.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",1420,261,82%,13,6
quick-starts-tao-mot-may-ao,Cloud Server,FPT Cloud Server,cloud-server/quick-starts-tao-mot-may-ao.md,1,4,0,5,"FEWER_IMAGES, HEADING_COUNT_DIFF, NO_CODE_BLOCKS, NO_TABLES, WORD_COUNT_LOW",1251,301,76%,21,12
attach-a-network-card-to-the-virtual-machine,Cloud Server,FPT Cloud Server,cloud-server/attach-a-network-card-to-the-virtual-machine.md,1,2,1,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",997,161,84%,11,6
tao-target,FPT Cloud VA,FPT Security,fpt-va/tao-target.md,1,2,0,3,"FEWER_IMAGES, NO_CODE_BLOCKS, WORD_COUNT_LOW",1259,482,62%,9,2
tutorials-bucket-config,FPT Object Storage,FPT Storage,fpt-object-storage/tutorials-bucket-config.md,1,1,0,2,"MISSING_HEADINGS, WORD_COUNT_LOW",1963,1191,39%,4,14
