slug,module,category,url,high,medium,low,total_issues,issue_types,web_words,doc_words
on-off-pitr,Managed - FPT Database Engines,FPT Database Engine,,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",,
restore-db,Managed - FPT Database Engines,FPT Database Engine,,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",,
push-s3,Managed - FPT Database Engines,FPT Database Engine,,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",,
resource,Managed - FPT Database Engines,FPT Database Engine,,2,2,0,4,"FEWER_IMAGES, MISSING_HEADINGS, NO_TABLES, WORD_COUNT_LOW",,
initial-setup,Tagging,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
tagging-billing,Tagging,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
overview,SSO - Single sign-on,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
config-sso,SSO - Single sign-on,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
overview-policy,Policy Management,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
dang-nhap-voi-tai-khoan-SSO,FPT Cloud Desktop,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
dang-nhap-voi-account-password,FPT Cloud Desktop,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-profile,FPT Autoscale,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-group,FPT Autoscale,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-policy,FPT Autoscale,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-may-ao,Cloud Server,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
GPU,Cloud Server,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
quan-ly-gpu-voi-hpc-portal,Cloud Server,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
hpc-quick-start,Cloud Server,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
hpc-change-package,Cloud Server,FPT Cloud Server,,2,1,1,4,"MISSING_HEADINGS, NO_IMAGES, NO_TABLES, WORD_COUNT_LOW",,
hpc-fixed-rental,Cloud Server,FPT Cloud Server,,2,1,1,4,"HEADING_COUNT_DIFF, MISSING_HEADINGS, NO_IMAGES, WORD_COUNT_LOW",,
