lang,file,line,ref,text
vi,docs-vi/auto-schedule-to-on-off-instance/delete-instance-schedule.md,23,/img/migrated/image-1695609061103-74aa2b28.png,![Hộp thoại xác nhận xóa
vi,docs-vi/auto-schedule-to-on-off-instance/detach-schedule-to-instance.md,17,/img/migrated/image-1695609097406-f1f13ac3.png,![Giao diện gỡ instance khỏi schedule
vi,docs-vi/auto-schedule-to-on-off-instance/view-detail-instance.md,13,/img/migrated/image-1695609011987-33ef2b1d.png,![Danh sách instance schedule
vi,docs-vi/auto-schedule-to-on-off-instance/view-detail-instance.md,17,/img/migrated/image-1695609025652-03872f17.png,![Tổng quan instance schedule
vi,docs-vi/auto-schedule-to-on-off-instance/view-detail-instance.md,21,/img/migrated/image-1695609035976-7b5310a1.png,![Danh sách máy ảo đính kèm
vi,docs-vi/backup/index.md,11,/img/migrated/icon-glossary-46e0a6e7.png, ![
vi,docs-vi/backup/index.md,12,/img/migrated/icon-networking-0257e14b.png, ![
vi,docs-vi/backup/index.md,13,/img/migrated/question-45cd06af.png, ![
vi,docs-vi/billing/billing-permission.md,17,/img/migrated/image-1733807046462-52e42c98.png,![Màn hình danh sách Roles
vi,docs-vi/billing/billing-permission.md,21,/img/migrated/image-1733807051725-b839d87f.png,![Điền tên role
vi,docs-vi/billing/billing-permission.md,22,/img/migrated/image-1733807059640-9e09ce9c.png,![Chọn type billing
vi,docs-vi/billing/billing-permission.md,23,/img/migrated/image-1733807063820-d4a99dea.png,![Chọn permission billing
vi,docs-vi/billing/billing-permission.md,27,/img/migrated/image-1733807067997-1c03291a.png,![Màn hình User Groups
vi,docs-vi/billing/billing-permission.md,31,/img/migrated/image-1733807076636-9336da11.png,![Tạo user group với role billing
vi,docs-vi/billing/download-bills.md,15,/img/migrated/image-1744088593606-63e60ab6.png,![Nút Download đối soát
vi,docs-vi/billing/download-bills.md,19,/img/migrated/image-1744088600025-5d3582dc.png,![Email xác nhận tải file đối soát
vi,docs-vi/billing/fqas-2.md,13,/img/migrated/image-1744089998414-ce3c34db.png,![Thông tin Last Updated trong Bill
vi,docs-vi/billing/view-bill-charges-by-resource.md,14,/img/migrated/image-1744088548570-8b7ba389.png,![Màn hình Charges by resource
vi,docs-vi/billing/view-bill-charges-by-resource.md,15,/img/migrated/image-1744088556698-8e3a4ec2.png,![Danh sách tài nguyên
vi,docs-vi/billing/view-bill-charges-by-resource.md,21,/img/migrated/image-1744088563151-bd609838.png,![Thanh tìm kiếm tài nguyên
vi,docs-vi/billing/view-bill-charges-by-resource.md,22,/img/migrated/image-1744088568905-881fb46e.png,![Kết quả tìm kiếm
vi,docs-vi/billing/view-bill-charges-by-resource.md,32,/img/migrated/image-1744088575386-74df5157.png,![Bộ lọc tài nguyên
vi,docs-vi/billing/view-bill-charges-by-resource.md,33,/img/migrated/image-1744088580081-669281df.png,![Lọc theo Service
vi,docs-vi/billing/view-bill-charges-by-resource.md,34,/img/migrated/image-1744088584665-f305f863.png,![Lọc theo Configuration
vi,docs-vi/billing/view-bill-charges-by-service.md,13,/img/migrated/image-1744088527526-341fc3c4.png,![Màn hình Charges by service
vi,docs-vi/billing/view-bill-charges-by-service.md,25,/img/migrated/image-1744088537330-29a3fbfc.png,![Bộ lọc Charges by service
vi,docs-vi/billing/view-bill-charges-by-service.md,29,/img/migrated/image-1744088542322-9ec1fe0b.png,![Kết quả lọc Charges by service
vi,docs-vi/billing/view-bills.md,23,/img/migrated/image-1744088467596-ab857222.png,![Màn hình chọn kỳ hóa đơn
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,15,/img/migrated/NIC-VM-ubuntu-1024x372-84e18337.png,![Thông tin NIC của VM Ubuntu trên FPT Cloud Porta
vi,docs-vi/change-network-config/change-static-IP-in-Ubuntu-server.md,20,/img/migrated/NIC-VM-ubuntu-console-949ea6c3.png,![Kết quả lệnh ifconfig trong Console của VM Ubunt
