section,fileName,in_en,in_vi,in_ja,status
tagging,初期設定,N,N,Y,MISSING
tagging,請求のタグ付け,N,N,Y,MISSING
terraform,index,Y,Y,N,MISSING
terraform,terraform,N,N,Y,MISSING
trellix-customer-guide,Access the administration interface,Y,N,N,MISSING
trellix-customer-guide,Viewing Logs,Y,N,N,MISSING
trellix-customer-guide,client-task,N,Y,Y,MISSING
trellix-customer-guide,client-task-mapping,Y,N,N,MISSING
trellix-customer-guide,report,N,Y,Y,MISSING
trellix-customer-guide,report-guide,Y,N,N,MISSING
trellix-customer-guide,setting-agert,N,Y,Y,MISSING
trellix-customer-guide,truy-cap-giao-dien-quan-tri,N,Y,Y,MISSING
trellix-customer-guide,view-log,N,Y,Y,MISSING
user-token,create-token,Y,Y,N,MISSING
user-token,how-to-create-an-user-token,Y,N,Y,MISSING
user-token,quick-start,Y,N,Y,MISSING
user-token,revoke-token,Y,Y,N,MISSING
vpn-site-to-site,Authenticate-Certificate mode-1,Y,N,N,MISSING
vpn-site-to-site,Create-VPN-S2S-connection,N,Y,N,MISSING
vpn-site-to-site,VPN-Activity,Y,N,N,MISSING
vpn-site-to-site,VPN-S2S-check-activity-logs,N,Y,N,MISSING
vpn-site-to-site,VPN-Site-to-Site-Configuration-between-FCI-and-AWS-(Virtual-private-gateways)-guide,Y,N,N,MISSING
vpn-site-to-site,VPN-Site-to-Site-Configuration-between-FCI-and-AWS-(transit-gateway)-guide,Y,N,N,MISSING
vpn-site-to-site,VPN-Site-to-Site-Configuration-with-Fortigate-guide,Y,N,N,MISSING
vpn-site-to-site,VPN-Site-to-Site-Configuration-with-Palo-Alto-guide,Y,N,N,MISSING
vpn-site-to-site,VPNアクティビティの確認,N,N,Y,MISSING
vpn-site-to-site,VPN情報の確認,N,N,Y,MISSING
vpn-site-to-site,authenticate-certificate-mode,N,Y,N,MISSING
vpn-site-to-site,common-vpn-device-configuration,Y,N,N,MISSING
vpn-site-to-site,connect-behind-NAT,Y,Y,N,MISSING
vpn-site-to-site,connect-checkpoint-r8120,Y,Y,N,MISSING
vpn-site-to-site,connect-fci-aws-transitgw,Y,Y,N,MISSING
vpn-site-to-site,connect-fci-aws-virtualgw,Y,Y,N,MISSING
vpn-site-to-site,connect-fci-fortigate,N,Y,N,MISSING
vpn-site-to-site,connect-fci-vmware,Y,Y,N,MISSING
vpn-site-to-site,connect-palo-alto,N,Y,N,MISSING
vpn-site-to-site,connect-pfsense,Y,Y,N,MISSING
vpn-site-to-site,connect-strongswan,Y,Y,N,MISSING
vpn-site-to-site,connect-vyos-1.5,Y,Y,N,MISSING
vpn-site-to-site,create-customer-gateway,Y,N,N,MISSING
vpn-site-to-site,create-customergw,N,Y,N,MISSING
vpn-site-to-site,create-vpn,Y,N,Y,MISSING
vpn-site-to-site,create-vpn-connection,Y,Y,N,MISSING
vpn-site-to-site,delete-VPN-S2S-connection,N,Y,N,MISSING
vpn-site-to-site,delete-customer-gateway,Y,N,N,MISSING
vpn-site-to-site,delete-customergw,N,Y,N,MISSING
vpn-site-to-site,delete-vpn,Y,N,N,MISSING
vpn-site-to-site,delete-vpn-connection,Y,N,N,MISSING
vpn-site-to-site,disable-VPN-S2S-connection,N,Y,N,MISSING
vpn-site-to-site,disable-VPN-Site-to-Site,Y,N,Y,MISSING
vpn-site-to-site,download-config-,Y,N,N,MISSING
vpn-site-to-site,download-config-VPN-S2S,N,Y,N,MISSING
vpn-site-to-site,edit-VPN-S2S-information,N,Y,N,MISSING
vpn-site-to-site,edit-customer-gateway,Y,N,N,MISSING
vpn-site-to-site,edit-customergw,N,Y,N,MISSING
vpn-site-to-site,edit-security-profile,Y,Y,N,MISSING
vpn-site-to-site,edit-vpn,Y,N,N,MISSING
vpn-site-to-site,edit-vpn-connection,Y,Y,N,MISSING
vpn-site-to-site,enable-VPN-S2S-connection,N,Y,N,MISSING
vpn-site-to-site,enable-disable-vpn-connection,Y,Y,N,MISSING
vpn-site-to-site,enable-vpn-s2S,Y,N,Y,MISSING
vpn-site-to-site,index,Y,Y,N,MISSING
vpn-site-to-site,ket-noi-thiet-bi-behind-NAT-IP,Y,Y,N,MISSING
vpn-site-to-site,logging,N,Y,N,MISSING
vpn-site-to-site,monitoring,N,Y,N,MISSING
vpn-site-to-site,monitoring-service-through-logging-feature-guide,Y,N,N,MISSING
vpn-site-to-site,monitoring-service-through-monitoring-feature-guide,Y,N,Y,MISSING
vpn-site-to-site,overviews-vpn,Y,Y,N,MISSING
vpn-site-to-site,permission-access-guide,Y,N,N,MISSING
vpn-site-to-site,service-authorization,N,Y,N,MISSING
vpn-site-to-site,set_alert,N,Y,N,MISSING
vpn-site-to-site,setting-up-alerts-via-the-cloud-guard-service-guide,Y,N,N,MISSING
vpn-site-to-site,tai-file-cau-hinh-vpn,N,Y,N,MISSING
vpn-site-to-site,view-VPN-detail-information,N,Y,N,MISSING
vpn-site-to-site,view-vpn-,Y,N,Y,MISSING
vpn-site-to-site,vpn-connection-management,Y,N,N,MISSING
vpn-site-to-site,xoa-vpn-connection,N,Y,N,MISSING
vpn-site-to-site,サイト間VPNの作成 -1,N,N,Y,MISSING
vpn-site-to-site,サイト間VPNの情報編集 -3,N,N,Y,MISSING
vpn-site-to-site,サイト間VPNの構成情報をダウンロード,N,N,Y,MISSING
vpn-site-to-site,サイト間VPNの無効化 -1,N,N,Y,MISSING
vpn-site-to-site,サイト間VPNを有効にする-2,N,N,Y,MISSING
vpn-site-to-site,サイト間の削除-5,N,N,Y,MISSING
vpn-site-to-site,認証証明書モード,N,N,Y,MISSING
zalo-ticket-support,index,Y,Y,N,MISSING
zalo-ticket-support,zalo-ticket-support,N,N,Y,MISSING
