section,fileName,in_en,in_vi,in_ja,status
fpt-api-management,quan-ly-consumers,N,Y,N,MISSING
fpt-api-management,quan-ly-products,N,Y,N,MISSING
fpt-api-management,quan-ly-rest-apis,N,Y,N,MISSING
fpt-api-management,quick-starts,Y,N,Y,MISSING
fpt-api-management,registering-on-fpt-portal,Y,N,Y,MISSING
fpt-app-catalogs,add-cluster-to-app-catalogs-management,Y,N,Y,MISSING
fpt-app-catalogs,app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,change-applications-configuration,Y,N,Y,MISSING
fpt-app-catalogs,create-a-new-fpt-app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,delete-an-app-catalogs-mangement,Y,N,Y,MISSING
fpt-app-catalogs,deploy-app-catalogs-to-cluster,Y,N,Y,MISSING
fpt-app-catalogs,deploy-app-catalogs-toi-cluster,N,Y,N,MISSING
fpt-app-catalogs,filter-apps-da-duoc-deploy-theo-cluster,N,Y,N,MISSING
fpt-app-catalogs,filter-deployed-appplications-by-cluster,Y,N,Y,MISSING
fpt-app-catalogs,index,Y,Y,N,MISSING
fpt-app-catalogs,ket-noi-cluster-toi-app-catalog-management,N,Y,N,MISSING
fpt-app-catalogs,manage-app-catalogs,Y,N,Y,MISSING
fpt-app-catalogs,manage-deployed-applications,Y,N,Y,MISSING
fpt-app-catalogs,quan-ly-app-catalogs,N,Y,N,MISSING
fpt-app-catalogs,quan-ly-applications-da-duoc-deploy,N,Y,N,MISSING
fpt-app-catalogs,rollback-an-application-to-the-old-configuration,Y,N,Y,MISSING
fpt-app-catalogs,rollback-app-ve-cau-hinh-cu,N,Y,N,MISSING
fpt-app-catalogs,search-app-catalogs-from-a-repository,Y,N,Y,MISSING
fpt-app-catalogs,search-app-catalogs-trong-repository,N,Y,N,MISSING
fpt-app-catalogs,tao-moi-app-catalogs,N,Y,N,MISSING
fpt-app-catalogs,thay-doi-cau-hinh-cua-applications,N,Y,N,MISSING
fpt-app-catalogs,uninstall-applications,Y,N,Y,MISSING
fpt-app-catalogs,uninstall-applications-neu-muon-xoa-bo,N,Y,N,MISSING
fpt-app-catalogs,upgrade-applications-to-the-latest-version,Y,N,Y,MISSING
fpt-app-catalogs,upgrade-applications-toi-version-moi-nhat,N,Y,N,MISSING
fpt-app-catalogs,view-app-catalog-details,Y,N,Y,MISSING
fpt-app-catalogs,view-deployed-applications-details,Y,N,Y,MISSING
fpt-app-catalogs,xem-chi-tiet-app-da-deploy,N,Y,N,MISSING
fpt-app-catalogs,xem-thong-tin-chi-tiet-app-catalog,N,Y,N,MISSING
fpt-app-catalogs,xoa-app-catalog-management,N,Y,N,MISSING
fpt-appsec,detail-dasboard,Y,N,Y,MISSING
fpt-appsec,fpt-appsec,N,N,Y,MISSING
fpt-appsec,index,Y,Y,N,MISSING
fpt-argocd,Connect-Kubernetes-Cluster-to-ArgoCD-Instance,Y,N,Y,MISSING
fpt-argocd,Create-new-account-on-FPT-Cloud-Portal,Y,N,Y,MISSING
fpt-argocd,Create-new-webhook-secret,Y,N,Y,MISSING
fpt-argocd,Demo,Y,N,N,MISSING
fpt-argocd,Edit-webhook-secret,Y,N,N,MISSING
fpt-argocd,Managing-Account-on-ArgoCD,Y,N,N,MISSING
fpt-argocd,View-informations-ArgoCD,Y,N,Y,MISSING
fpt-argocd,add-cluster-to-argocd,N,N,Y,MISSING
fpt-argocd,add-cluster-toi-argocd,N,Y,N,MISSING
fpt-argocd,add-moi-webhook-secret,N,Y,N,MISSING
fpt-argocd,cau-hinh-build-option-cho-kustomize,N,Y,N,MISSING
fpt-argocd,cau-hinh-channel-de-thuc-hien-gui-thong-bao,N,Y,N,MISSING
fpt-argocd,cau-hinh-image-updater,N,Y,N,MISSING
fpt-argocd,cau-hinh-log-level,N,Y,N,MISSING
fpt-argocd,cau-hinh-notifications,N,Y,N,MISSING
fpt-argocd,cau-hinh-oidc-config,N,Y,N,MISSING
fpt-argocd,cau-hinh-oidc-phuc-vu-sso-config,N,Y,N,MISSING
fpt-argocd,cau-hinh-rbac,N,Y,N,MISSING
fpt-argocd,cau-hinh-timereconcile,N,Y,N,MISSING
fpt-argocd,cau-hinh-webhook,N,Y,N,MISSING
fpt-argocd,cau-hinh-whitelist-ip,N,Y,N,MISSING
fpt-argocd,check-service-package-info,Y,N,Y,MISSING
fpt-argocd,cho-phep-enable-applications-set,N,Y,N,MISSING
fpt-argocd,configure-build-options-kustomize,Y,N,Y,MISSING
fpt-argocd,configure-image-updater,Y,N,Y,MISSING
fpt-argocd,configure-log-level,Y,N,Y,MISSING
fpt-argocd,configure-notification-channels,Y,N,Y,MISSING
fpt-argocd,configure-notifications,Y,N,Y,MISSING
fpt-argocd,configure-oidc-config,Y,N,Y,MISSING
fpt-argocd,configure-oidc-sso,Y,N,Y,MISSING
fpt-argocd,configure-rbac,Y,N,Y,MISSING
fpt-argocd,configure-timereconcile,Y,N,Y,MISSING
fpt-argocd,configure-webhook,Y,N,Y,MISSING
fpt-argocd,configure-webhook-with-secret,Y,N,Y,MISSING
fpt-argocd,configure-whitelist-ip,Y,N,Y,MISSING
fpt-argocd,create-fpt-argocd,Y,N,Y,MISSING
fpt-argocd,delete-oidc-config,Y,N,Y,MISSING
fpt-argocd,delete-oidc-da-cau-hinh,N,Y,N,MISSING
fpt-argocd,edit-webhook-secret,N,Y,Y,MISSING
fpt-argocd,enable-applications-set,Y,N,Y,MISSING
fpt-argocd,enable-disable-argocd-images-updater,N,Y,N,MISSING
fpt-argocd,enable-disable-chuc-nang-cau-hinh-oidc,N,Y,N,MISSING
fpt-argocd,enable-disable-images-updater,Y,N,Y,MISSING
fpt-argocd,enable-disable-notificaions,N,Y,N,MISSING
fpt-argocd,enable-disable-notifications,Y,N,Y,MISSING
fpt-argocd,enable-disable-oidc,Y,N,Y,MISSING
fpt-argocd,huong-dan-cau-hinh-argocd-cluster-de-deploy-ung-dung-voi-manifes,Y,Y,N,MISSING
fpt-argocd,huong-dan-cau-hinh-notifications-de-nhan-thong-bao,Y,Y,N,MISSING
fpt-argocd,huong-dan-dang-nhap-vao-argocd,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-applications-qua-argocd-cli,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-applications-qua-helm-chart-repo,Y,Y,N,MISSING
fpt-argocd,huong-dan-deploy-mot-appliations-voi-kustomize-su-dung-build-options,Y,Y,N,MISSING
fpt-argocd,huong-dan-su-dung-applicationset-de-deploy,Y,Y,N,MISSING
fpt-argocd,huong-dan-tich-hop-argocd-images-updater,Y,Y,N,MISSING
fpt-argocd,huong-dan-tich-hop-oidc-de-quan-ly-account,Y,Y,N,MISSING
fpt-argocd,index,Y,Y,N,MISSING
fpt-argocd,kiem-tra-thong-tin-goi-dich-vu,N,Y,N,MISSING
fpt-argocd,manage-accounts,Y,N,Y,MISSING
fpt-argocd,manage-admin-account,Y,N,Y,MISSING
fpt-argocd,manage-container-registry,Y,N,Y,MISSING
fpt-argocd,manage-registry-secrets,Y,N,Y,MISSING
fpt-argocd,manage-secrets,Y,N,Y,MISSING
fpt-argocd,mange-admin-account,N,Y,N,MISSING
